,Start,End
0,2025-06-02 16:11:28.482243,2025-06-02 16:11:28.532704
1,2025-06-02 16:11:28.563998,2025-06-02 16:11:28.629322
2,2025-06-02 16:11:28.787109,2025-06-02 16:11:29.538170
3,2025-06-02 16:11:29.570663,2025-06-02 16:11:29.778028
4,2025-06-02 16:11:29.811322,2025-06-02 16:11:30.001712
5,2025-06-02 16:11:30.083851,2025-06-02 16:11:30.118225
6,2025-06-02 16:11:30.209778,2025-06-02 16:11:30.387932
7,2025-06-02 16:11:30.454072,2025-06-02 16:11:30.488376
8,2025-06-02 16:11:30.547278,2025-06-02 16:11:30.788919
9,2025-06-02 16:11:30.885332,2025-06-02 16:11:30.916833
10,2025-06-02 16:11:32.740240,2025-06-02 16:11:34.098883
11,2025-06-02 16:11:34.258156,2025-06-02 16:11:34.436866
12,2025-06-02 16:11:34.564430,2025-06-02 16:11:34.663184
13,2025-06-02 16:11:34.802104,2025-06-02 16:11:39.401084
